Product Name,Code,Department,BP,SP,WP,TRANSCOUNTY_MAIN,TRANSCOUNTY_ANNEX,PEAKFARM,TOTAL_STOCK
Prazivet plus tablet,DEWORMER,AGROVET,46.0,80.0,60.0,-1,0,0,-1
Pressure Hand Sprayer 2L,PUMPS,AGROVET,275.0,350.0,350.0,-1,0,7,6
Pressure Hand sprayer IL,PUMPS,AGROVET,120.0,200.0,200.0,-1,0,16,15
PrimaGram 1lt,HERBICIDES,AGROVET,1080.0,2300.0,1200.0,-1,0,0,-1
Primelick 1kg,-,AGROVET,120.0,150.0,150.0,-1,0,0,-1
Profile 100ml,-,AGROVET,200.0,300.0,300.0,-1,0,0,-1
Promax 25ml,INSECTICIDES,AGROVET,160.0,200.0,170.0,-1,0,0,-1
Ranger 100ml,INSECTICIDES,AGROVET,163.0,250.0,180.0,-1,0,0,-1
Ranger 1LT,INSECTICIDES,AGROVET,1140.0,1200.0,1200.0,-1,0,0,-1
Ranger 500ml,INSECTICIDES,AGROVET,640.0,850.0,700.0,-1,0,0,-1
Rata bite 10gm,ANTIRODENT,AGROVET,30.0,70.0,50.0,-1,0,0,-1
Red Cat,ANTIRODENTS,AGROVET,10.0,30.0,14.0,-1,0,0,-1
Ridomil Gold 1kg,FUNGICIDES,AGROVET,2350.0,2700.0,2700.0,-1,0,0,-1
Ridomil Gold 250g,FUNGICIDES,AGROVET,750.0,1000.0,1000.0,-1,0,0,-1
Ridomil Gold 50g,FUNGICIDES,AGROVET,161.0,200.0,200.0,-1,0,0,-1
Rio Grande Tomato Alps 10g,SEEDS,AGROVET,148.0,200.0,200.0,-1,0,1,0
Rio Grande Tomato Alps 25g,SEEDS,AGROVET,335.0,450.0,450.0,-1,0,5,4
Rio Grande Tomato Alps 50g,SEEDS,AGROVET,540.0,800.0,800.0,-1,0,0,-1
Rio Grande Tomato EA 10g,SEEDS,AGROVET,155.0,250.0,250.0,-1,0,0,-1
Rio Grande Tomato EA 25g,SEEDS,AGROVET,380.0,480.0,480.0,-1,0,0,-1
Rio Grande Tomato EA 50g,SEEDS,AGROVET,715.0,800.0,800.0,-1,0,0,-1
Rio Grande Tomato Elgon 100g,SEEDS,AGROVET,1350.0,1500.0,1500.0,-1,0,0,-1
Rio Grande Tomato Elgon 25g,SEEDS,AGROVET,360.0,450.0,400.0,-1,0,0,-1
Rio Grande Tomato Elgon 50g,SEEDS,AGROVET,690.0,800.0,800.0,-1,0,0,-1
Rio Grande Tomato Safari 100g,SEEDS,AGROVET,1350.0,1500.0,1500.0,0,0,2,2
Rio Grande Tomato Safari 10g,SEEDS,AGROVET,205.0,300.0,300.0,-1,0,0,-1
Rio Grande Tomato Safari 25g,SEEDS,AGROVET,335.0,450.0,450.0,-1,0,0,-1
Rio Grande Tomato Safari 50g,SEEDS,AGROVET,653.0,800.0,700.0,-1,0,0,-1
Rio Grande Tomato Simlaw 10g,SEEDS,AGROVET,115.0,200.0,180.0,-1,0,0,-1
Rio Grande Tomato Simlaw 25g,SEEDS,AGROVET,270.0,400.0,285.0,-1,0,0,-1
Rio Grande Tomato Simlaw 50g,SEEDS,AGROVET,484.0,700.0,490.0,-1,0,0,-1
Rock allum 250g Ava Chem,WATER PURIFIER,AGROVET,70.0,120.0,80.0,-1,0,0,-1
Rock allum 500g Ava Chem,WATER PURIFIER,AGROVET,120.0,200.0,150.0,-1,0,0,-1
Rocket 100ml,-,AGROVET,250.0,450.0,350.0,-1,0,0,-1
Rocket 50ml,-,AGROVET,120.0,200.0,130.0,-1,0,0,-1
Romectin 100ml,-,AGROVET,646.0,850.0,650.0,-1,0,0,-1
Romectin 50ml,-,AGROVET,347.0,450.0,350.0,-1,0,0,-1
Rona Booster 1 Litre,FOLIA FERTILIZER,AGROVET,70.0,100.0,90.0,-1,0,3,2
Rona Booster 2 Litre,FOLIA FERTILIZER,AGROVET,130.0,200.0,200.0,-1,0,0,-1
Rona Booster 5 Litre,FOLIA FERTILIZER,AGROVET,230.0,330.0,330.0,-1,0,6,5
Rona Booster 500ml,FOLIA FERTILIZER,AGROVET,45.0,100.0,100.0,-1,0,0,-1
Round Turbo 1lt,HERBICIDE,AGROVET,950.0,1200.0,1200.0,-1,0,0,-1
Round Turbo 20lt,HERBICIDE,AGROVET,16500.0,20000.0,20000.0,-1,0,0,-1
Rubber Rings,ACCARICIDE,AGROVET,4.0,5.32,4.52,-1,0,0,-1
Rumecal 100ml,DEWORMER,AGROVET,120.0,,135.6,-1,0,0,-1
Rumecal 100ml Highchem,DEWORMER,AGROVET,120.0,159.6,135.6,-1,0,0,-1
S Dime Solution 125ml,ANTIBIOTICS,AGROVET,190.0,260.0,260.0,-1,0,0,-1
S dime 5g,-,AGROVET,25.0,30.0,25.0,-1,0,0,-1
S-Dime 125ml,-,AGROVET,190.0,250.0,180.0,-1,0,8,7
Score 20ml,-,AGROVET,143.0,300.0,200.0,-1,0,0,-1
Sevin Dudu Dust 100g,INSECTICIDES,AGROVET,82.0,100.0,100.0,-1,0,3,2
Sevin Dudu Dust 200g,INSECTICIDES,AGROVET,110.0,150.0,150.0,-1,0,8,7
Sevin Dudu Dust 50g,INSECTICIDES,AGROVET,59.0,80.0,70.0,-1,0,0,-1
Sigma Combi 1l,HERBICIDES,AGROVET,1100.0,1500.0,1400.0,-1,0,0,-1
Sigma Combi 5l,HERBICIDES,AGROVET,4533.0,5200.0,5200.0,-1,0,0,-1
Sine 4D 1lt,-,AGROVET,420.0,650.0,650.0,-1,0,0,-1
Sine 4D 5lt,-,AGROVET,1955.0,2400.0,2400.0,-1,0,0,-1
